"Please enter your details below to complete your purchase.","Please enter your details below to complete your purchase."
"One step Checkout","One step Checkout"
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Already registered? Please log in below.","Already registered? Please click here to login."
"View Option(s)","View Option(s)"
"Hide Option(s)","Hide Option(s)"
