"Register","Регистрация"
"Create an Account","Создать учётную запись"
"Forgot Your Password?","Забыли пароль?"
"Search","Поиск:"
"Search results for '%s'","Результаты поиска '%s'"
"Search results for: '%s'","Результаты поиска '%s'"
"Your search returns no results.","Товар который вы ищите не найден.<br/> <a class=""fancybox fancybox.ajax link seoquake-nofollow"" rel=""nofollow"" href=""/callbackrequest/index/index/?is_ajax=1"">Закажите подбор</a> интересующего вас товара у менеджера."
"Home","Запчасти"
"Other","Прочее",
"Items %s-%s of %s","%s-%s из %s товаров"
